Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
QCL,Crops and livestock products,250,France,5312,Area harvested,1341,Apples,2009,2009,ha,41201,A,Official figure
QCL,Crops and livestock products,250,France,5312,Area harvested,1341,Apples,2010,2010,ha,40908,A,Official figure
QCL,Crops and livestock products,250,France,5312,Area harvested,1341,Apples,2011,2011,ha,39725,A,Official figure
QCL,Crops and livestock products,250,France,5312,Area harvested,1341,Apples,2012,2012,ha,38714,A,Official figure
QCL,Crops and livestock products,250,France,5312,Area harvested,1341,Apples,2013,2013,ha,37593,A,Official figure
QCL,Crops and livestock products,250,France,5312,Area harvested,1341,Apples,2014,2014,ha,50170,A,Official figure
QCL,Crops and livestock products,250,France,5312,Area harvested,1341,Apples,2015,2015,ha,49663,A,Official figure
QCL,Crops and livestock products,250,France,5312,Area harvested,1341,Apples,2016,2016,ha,50150,A,Official figure
QCL,Crops and livestock products,250,France,5312,Area harvested,1341,Apples,2017,2017,ha,50309,A,Official figure
QCL,Crops and livestock products,250,France,5312,Area harvested,1341,Apples,2018,2018,ha,50540,A,Official figure
QCL,Crops and livestock products,250,France,5312,Area harvested,1341,Apples,2019,2019,ha,50370,A,Official figure
QCL,Crops and livestock products,250,France,5312,Area harvested,1341,Apples,2020,2020,ha,50150,A,Official figure
QCL,Crops and livestock products,250,France,5419,Yield,1341,Apples,2000,2000,hg/ha,401787,E,Estimated value
QCL,Crops and livestock products,250,France,5419,Yield,1341,Apples,2001,2001,hg/ha,373316,E,Estimated value
QCL,Crops and livestock products,250,France,5419,Yield,1341,Apples,2002,2002,hg/ha,403280,E,Estimated value
QCL,Crops and livestock products,250,France,5419,Yield,1341,Apples,2003,2003,hg/ha,353873,E,Estimated value
QCL,Crops and livestock products,250,France,5419,Yield,1341,Apples,2004,2004,hg/ha,380049,E,Estimated value
QCL,Crops and livestock products,250,France,5419,Yield,1341,Apples,2005,2005,hg/ha,391492,E,Estimated value
QCL,Crops and livestock products,250,France,5419,Yield,1341,Apples,2006,2006,hg/ha,382639,E,Estimated value
QCL,Crops and livestock products,250,France,5419,Yield,1341,Apples,2007,2007,hg/ha,411992,E,Estimated value
QCL,Crops and livestock products,250,France,5419,Yield,1341,Apples,2008,2008,hg/ha,404476,E,Estimated value
QCL,Crops and livestock products,250,France,5419,Yield,1341,Apples,2009,2009,hg/ha,419799,E,Estimated value
QCL,Crops and livestock products,250,France,5419,Yield,1341,Apples,2010,2010,hg/ha,428099,E,Estimated value
QCL,Crops and livestock products,250,France,5419,Yield,1341,Apples,2011,2011,hg/ha,443711,E,Estimated value
QCL,Crops and livestock products,250,France,5419,Yield,1341,Apples,2012,2012,hg/ha,337432,E,Estimated value
QCL,Crops and livestock products,250,France,5419,Yield,1341,Apples,2013,2013,hg/ha,449062,E,Estimated value
QCL,Crops and livestock products,250,France,5419,Yield,1341,Apples,2014,2014,hg/ha,368258,E,Estimated value
QCL,Crops and livestock products,250,France,5419,Yield,1341,Apples,2015,2015,hg/ha,396397,E,Estimated value
QCL,Crops and livestock products,250,France,5419,Yield,1341,Apples,2016,2016,hg/ha,363534,E,Estimated value
QCL,Crops and livestock products,250,France,5419,Yield,1341,Apples,2017,2017,hg/ha,337106,E,Estimated value
QCL,Crops and livestock products,250,France,5419,Yield,1341,Apples,2018,2018,hg/ha,344351,E,Estimated value
QCL,Crops and livestock products,250,France,5419,Yield,1341,Apples,2019,2019,hg/ha,348124,E,Estimated value
QCL,Crops and livestock products,250,France,5419,Yield,1341,Apples,2020,2020,hg/ha,323007,E,Estimated value
QCL,Crops and livestock products,250,France,5510,Production,1341,Apples,2000,2000,tonnes,2130274,A,Official figure
QCL,Crops and livestock products,250,France,5510,Production,1341,Apples,2001,2001,tonnes,1882109,A,Official figure
QCL,Crops and livestock products,250,France,5510,Production,1341,Apples,2002,2002,tonnes,1995306,A,Official figure
QCL,Crops and livestock products,250,France,5510,Production,1341,Apples,2003,2003,tonnes,1721662,A,Official figure
QCL,Crops and livestock products,250,France,5510,Production,1341,Apples,2004,2004,tonnes,1800177,A,Official figure
QCL,Crops and livestock products,250,France,5510,Production,1341,Apples,2005,2005,tonnes,1829166,A,Official figure
QCL,Crops and livestock products,250,France,5510,Production,1341,Apples,2006,2006,tonnes,1679328,A,Official figure
QCL,Crops and livestock products,250,France,5510,Production,1341,Apples,2007,2007,tonnes,1781947,A,Official figure
QCL,Crops and livestock products,250,France,5510,Production,1341,Apples,2008,2008,tonnes,1701752,A,Official figure
QCL,Crops and livestock products,250,France,5510,Production,1341,Apples,2009,2009,tonnes,1729615,A,Official figure
QCL,Crops and livestock products,250,France,5510,Production,1341,Apples,2010,2010,tonnes,1751269,A,Official figure
QCL,Crops and livestock products,250,France,5510,Production,1341,Apples,2011,2011,tonnes,1762640,A,Official figure
QCL,Crops and livestock products,250,France,5510,Production,1341,Apples,2012,2012,tonnes,1306333,A,Official figure
QCL,Crops and livestock products,250,France,5510,Production,1341,Apples,2013,2013,tonnes,1688158,A,Official figure
QCL,Crops and livestock products,250,France,5510,Production,1341,Apples,2014,2014,tonnes,1847551,A,Official figure
QCL,Crops and livestock products,250,France,5510,Production,1341,Apples,2015,2015,tonnes,1968628,A,Official figure
QCL,Crops and livestock products,250,France,5510,Production,1341,Apples,2016,2016,tonnes,1823123,A,Official figure
QCL,Crops and livestock products,250,France,5510,Production,1341,Apples,2017,2017,tonnes,1695949,A,Official figure
QCL,Crops and livestock products,250,France,5510,Production,1341,Apples,2018,2018,tonnes,1740350,A,Official figure
QCL,Crops and livestock products,250,France,5510,Production,1341,Apples,2019,2019,tonnes,1753500,A,Official figure
QCL,Crops and livestock products,250,France,5510,Production,1341,Apples,2020,2020,tonnes,1619880,A,Official figure
QCL,Crops and livestock products,250,France,5312,Area harvested,1343,Apricots,2000,2000,ha,14992,A,Official figure
QCL,Crops and livestock products,250,France,5312,Area harvested,1343,Apricots,2001,2001,ha,14693,A,Official figure
QCL,Crops and livestock products,250,France,5312,Area harvested,1343,Apricots,2002,2002,ha,14496,A,Official figure
QCL,Crops and livestock products,250,France,5312,Area harvested,1343,Apricots,2003,2003,ha,14744,A,Official figure
QCL,Crops and livestock products,250,France,5312,Area harvested,1343,Apricots,2004,2004,ha,14636,A,Official figure
QCL,Crops and livestock products,250,France,5312,Area harvested,1343,Apricots,2005,2005,ha,14160,A,Official figure
QCL,Crops and livestock products,250,France,5312,Area harvested,1343,Apricots,2006,2006,ha,14021,A,Official figure
QCL,Crops and livestock products,250,France,5312,Area harvested,1343,Apricots,2007,2007,ha,14176,A,Official figure
QCL,Crops and livestock products,250,France,5312,Area harvested,1343,Apricots,2008,2008,ha,14049,A,Official figure
QCL,Crops and livestock products,250,France,5312,Area harvested,1343,Apricots,2009,2009,ha,14017,A,Official figure
QCL,Crops and livestock products,250,France,5312,Area harvested,1343,Apricots,2010,2010,ha,13797,A,Official figure
QCL,Crops and livestock products,250,France,5312,Area harvested,1343,Apricots,2011,2011,ha,13269,A,Official figure
QCL,Crops and livestock products,250,France,5312,Area harvested,1343,Apricots,2012,2012,ha,12743,A,Official figure
QCL,Crops and livestock products,250,France,5312,Area harvested,1343,Apricots,2013,2013,ha,12176,A,Official figure
QCL,Crops and livestock products,250,France,5312,Area harvested,1343,Apricots,2014,2014,ha,12207,A,Official figure
QCL,Crops and livestock products,250,France,5312,Area harvested,1343,Apricots,2015,2015,ha,12014,A,Official figure
QCL,Crops and livestock products,250,France,5312,Area harvested,1343,Apricots,2016,2016,ha,12177,A,Official figure
QCL,Crops and livestock products,250,France,5312,Area harvested,1343,Apricots,2017,2017,ha,12197,A,Official figure
QCL,Crops and livestock products,250,France,5312,Area harvested,1343,Apricots,2018,2018,ha,12270,A,Official figure
QCL,Crops and livestock products,250,France,5312,Area harvested,1343,Apricots,2019,2019,ha,12280,A,Official figure
QCL,Crops and livestock products,250,France,5312,Area harvested,1343,Apricots,2020,2020,ha,12190,A,Official figure
QCL,Crops and livestock products,250,France,5419,Yield,1343,Apricots,2000,2000,hg/ha,87238,E,Estimated value
QCL,Crops and livestock products,250,France,5419,Yield,1343,Apricots,2001,2001,hg/ha,65276,E,Estimated value
QCL,Crops and livestock products,250,France,5419,Yield,1343,Apricots,2002,2002,hg/ha,114304,E,Estimated value
QCL,Crops and livestock products,250,France,5419,Yield,1343,Apricots,2003,2003,hg/ha,79083,E,Estimated value
QCL,Crops and livestock products,250,France,5419,Yield,1343,Apricots,2004,2004,hg/ha,112774,E,Estimated value
QCL,Crops and livestock products,250,France,5419,Yield,1343,Apricots,2005,2005,hg/ha,125096,E,Estimated value
QCL,Crops and livestock products,250,France,5419,Yield,1343,Apricots,2006,2006,hg/ha,128245,E,Estimated value
QCL,Crops and livestock products,250,France,5419,Yield,1343,Apricots,2007,2007,hg/ha,89171,E,Estimated value
QCL,Crops and livestock products,250,France,5419,Yield,1343,Apricots,2008,2008,hg/ha,67276,E,Estimated value
QCL,Crops and livestock products,250,France,5419,Yield,1343,Apricots,2009,2009,hg/ha,135822,E,Estimated value
QCL,Crops and livestock products,250,France,5419,Yield,1343,Apricots,2010,2010,hg/ha,103799,E,Estimated value
QCL,Crops and livestock products,250,France,5419,Yield,1343,Apricots,2011,2011,hg/ha,112027,E,Estimated value
QCL,Crops and livestock products,250,France,5419,Yield,1343,Apricots,2012,2012,hg/ha,137509,E,Estimated value
QCL,Crops and livestock products,250,France,5419,Yield,1343,Apricots,2013,2013,hg/ha,104433,E,Estimated value
QCL,Crops and livestock products,250,France,5419,Yield,1343,Apricots,2014,2014,hg/ha,143983,E,Estimated value
QCL,Crops and livestock products,250,France,5419,Yield,1343,Apricots,2015,2015,hg/ha,132658,E,Estimated value
QCL,Crops and livestock products,250,France,5419,Yield,1343,Apricots,2016,2016,hg/ha,495416,E,Estimated value
QCL,Crops and livestock products,250,France,5419,Yield,1343,Apricots,2017,2017,hg/ha,536966,E,Estimated value
QCL,Crops and livestock products,250,France,5419,Yield,1343,Apricots,2018,2018,hg/ha,92005,E,Estimated value
QCL,Crops and livestock products,250,France,5419,Yield,1343,Apricots,2019,2019,hg/ha,109772,E,Estimated value
QCL,Crops and livestock products,250,France,5419,Yield,1343,Apricots,2020,2020,hg/ha,70410,E,Estimated value
QCL,Crops and livestock products,250,France,5510,Production,1343,Apricots,2000,2000,tonnes,130787,A,Official figure
QCL,Crops and livestock products,250,France,5510,Production,1343,Apricots,2001,2001,tonnes,95910,A,Official figure
QCL,Crops and livestock products,250,France,5510,Production,1343,Apricots,2002,2002,tonnes,165695,A,Official figure
QCL,Crops and livestock products,250,France,5510,Production,1343,Apricots,2003,2003,tonnes,116600,A,Official figure
QCL,Crops and livestock products,250,France,5510,Production,1343,Apricots,2004,2004,tonnes,165056,A,Official figure
QCL,Crops and livestock products,250,France,5510,Production,1343,Apricots,2005,2005,tonnes,177136,A,Official figure
QCL,Crops and livestock products,250,France,5510,Production,1343,Apricots,2006,2006,tonnes,179812,A,Official figure
QCL,Crops and livestock products,250,France,5510,Production,1343,Apricots,2007,2007,tonnes,126409,A,Official figure
QCL,Crops and livestock products,250,France,5510,Production,1343,Apricots,2008,2008,tonnes,94516,A,Official figure
QCL,Crops and livestock products,250,France,5510,Production,1343,Apricots,2009,2009,tonnes,190382,A,Official figure
QCL,Crops and livestock products,250,France,5510,Production,1343,Apricots,2010,2010,tonnes,143212,A,Official figure
QCL,Crops and livestock products,250,France,5510,Production,1343,Apricots,2011,2011,tonnes,148648,A,Official figure
QCL,Crops and livestock products,250,France,5510,Production,1343,Apricots,2012,2012,tonnes,175228,A,Official figure
QCL,Crops and livestock products,250,France,5510,Production,1343,Apricots,2013,2013,tonnes,127158,A,Official figure
QCL,Crops and livestock products,250,France,5510,Production,1343,Apricots,2014,2014,tonnes,175760,A,Official figure
QCL,Crops and livestock products,250,France,5510,Production,1343,Apricots,2015,2015,tonnes,159375,A,Official figure
QCL,Crops and livestock products,250,France,5510,Production,1343,Apricots,2016,2016,tonnes,603268,A,Official figure
QCL,Crops and livestock products,250,France,5510,Production,1343,Apricots,2017,2017,tonnes,654938,A,Official figure
QCL,Crops and livestock products,250,France,5510,Production,1343,Apricots,2018,2018,tonnes,112890,A,Official figure
QCL,Crops and livestock products,250,France,5510,Production,1343,Apricots,2019,2019,tonnes,134800,A,Official figure
QCL,Crops and livestock products,250,France,5510,Production,1343,Apricots,2020,2020,tonnes,85830,A,Official figure
QCL,Crops and livestock products,250,France,5312,Area harvested,1216,Artichokes,2000,2000,ha,11823,A,Official figure
QCL,Crops and livestock products,250,France,5312,Area harvested,1216,Artichokes,2001,2001,ha,11208,A,Official figure
QCL,Crops and livestock products,250,France,5312,Area harvested,1216,Artichokes,2002,2002,ha,11062,A,Official figure
QCL,Crops and livestock products,250,France,5312,Area harvested,1216,Artichokes,2003,2003,ha,10453,A,Official figure
QCL,Crops and livestock products,250,France,5312,Area harvested,1216,Artichokes,2004,2004,ha,10257,A,Official figure
QCL,Crops and livestock products,250,France,5312,Area harvested,1216,Artichokes,2005,2005,ha,10179,A,Official figure
QCL,Crops and livestock products,250,France,5312,Area harvested,1216,Artichokes,2006,2006,ha,9991,A,Official figure
QCL,Crops and livestock products,250,France,5312,Area harvested,1216,Artichokes,2007,2007,ha,9745,A,Official figure
QCL,Crops and livestock products,250,France,5312,Area harvested,1216,Artichokes,2008,2008,ha,9486,A,Official figure
QCL,Crops and livestock products,250,France,5312,Area harvested,1216,Artichokes,2009,2009,ha,9069,A,Official figure
QCL,Crops and livestock products,250,France,5312,Area harvested,1216,Artichokes,2010,2010,ha,8501,A,Official figure
QCL,Crops and livestock products,250,France,5312,Area harvested,1216,Artichokes,2011,2011,ha,7822,A,Official figure
QCL,Crops and livestock products,250,France,5312,Area harvested,1216,Artichokes,2012,2012,ha,7680,A,Official figure
QCL,Crops and livestock products,250,France,5312,Area harvested,1216,Artichokes,2013,2013,ha,7247,A,Official figure
QCL,Crops and livestock products,250,France,5312,Area harvested,1216,Artichokes,2014,2014,ha,7705,A,Official figure
QCL,Crops and livestock products,250,France,5312,Area harvested,1216,Artichokes,2015,2015,ha,7692,A,Official figure
QCL,Crops and livestock products,250,France,5312,Area harvested,1216,Artichokes,2016,2016,ha,7470,A,Official figure
QCL,Crops and livestock products,250,France,5312,Area harvested,1216,Artichokes,2017,2017,ha,6239,A,Official figure
QCL,Crops and livestock products,250,France,5312,Area harvested,1216,Artichokes,2018,2018,ha,6260,A,Official figure
QCL,Crops and livestock products,250,France,5312,Area harvested,1216,Artichokes,2019,2019,ha,5460,A,Official figure
QCL,Crops and livestock products,250,France,5312,Area harvested,1216,Artichokes,2020,2020,ha,4610,A,Official figure
QCL,Crops and livestock products,250,France,5419,Yield,1216,Artichokes,2000,2000,hg/ha,53798,E,Estimated value
QCL,Crops and livestock products,250,France,5419,Yield,1216,Artichokes,2001,2001,hg/ha,54648,E,Estimated value
QCL,Crops and livestock products,250,France,5419,Yield,1216,Artichokes,2002,2002,hg/ha,64848,E,Estimated value
QCL,Crops and livestock products,250,France,5419,Yield,1216,Artichokes,2003,2003,hg/ha,47687,E,Estimated value
QCL,Crops and livestock products,250,France,5419,Yield,1216,Artichokes,2004,2004,hg/ha,58118,E,Estimated value
QCL,Crops and livestock products,250,France,5419,Yield,1216,Artichokes,2005,2005,hg/ha,49267,E,Estimated value
QCL,Crops and livestock products,250,France,5419,Yield,1216,Artichokes,2006,2006,hg/ha,53082,E,Estimated value
QCL,Crops and livestock products,250,France,5419,Yield,1216,Artichokes,2007,2007,hg/ha,53896,E,Estimated value
QCL,Crops and livestock products,250,France,5419,Yield,1216,Artichokes,2008,2008,hg/ha,53646,E,Estimated value
QCL,Crops and livestock products,250,France,5419,Yield,1216,Artichokes,2009,2009,hg/ha,56613,E,Estimated value
QCL,Crops and livestock products,250,France,5419,Yield,1216,Artichokes,2010,2010,hg/ha,56475,E,Estimated value
QCL,Crops and livestock products,250,France,5419,Yield,1216,Artichokes,2011,2011,hg/ha,64675,E,Estimated value
QCL,Crops and livestock products,250,France,5419,Yield,1216,Artichokes,2012,2012,hg/ha,54042,E,Estimated value
QCL,Crops and livestock products,250,France,5419,Yield,1216,Artichokes,2013,2013,hg/ha,50246,E,Estimated value
QCL,Crops and livestock products,250,France,5419,Yield,1216,Artichokes,2014,2014,hg/ha,49778,E,Estimated value
QCL,Crops and livestock products,250,France,5419,Yield,1216,Artichokes,2015,2015,hg/ha,57192,E,Estimated value
QCL,Crops and livestock products,250,France,5419,Yield,1216,Artichokes,2016,2016,hg/ha,51888,E,Estimated value
QCL,Crops and livestock products,250,France,5419,Yield,1216,Artichokes,2017,2017,hg/ha,75732,E,Estimated value
QCL,Crops and livestock products,250,France,5419,Yield,1216,Artichokes,2018,2018,hg/ha,75383,E,Estimated value
QCL,Crops and livestock products,250,France,5419,Yield,1216,Artichokes,2019,2019,hg/ha,69652,E,Estimated value
QCL,Crops and livestock products,250,France,5419,Yield,1216,Artichokes,2020,2020,hg/ha,56790,E,Estimated value
QCL,Crops and livestock products,250,France,5510,Production,1216,Artichokes,2000,2000,tonnes,63605,A,Official figure
QCL,Crops and livestock products,250,France,5510,Production,1216,Artichokes,2001,2001,tonnes,61249,A,Official figure
QCL,Crops and livestock products,250,France,5510,Production,1216,Artichokes,2002,2002,tonnes,71735,A,Official figure
QCL,Crops and livestock products,250,France,5510,Production,1216,Artichokes,2003,2003,tonnes,49847,A,Official figure
QCL,Crops and livestock products,250,France,5510,Production,1216,Artichokes,2004,2004,tonnes,59612,A,Official figure
QCL,Crops and livestock products,250,France,5510,Production,1216,Artichokes,2005,2005,tonnes,50149,A,Official figure
QCL,Crops and livestock products,250,France,5510,Production,1216,Artichokes,2006,2006,tonnes,53034,A,Official figure
QCL,Crops and livestock products,250,France,5510,Production,1216,Artichokes,2007,2007,tonnes,52522,A,Official figure
QCL,Crops and livestock products,250,France,5510,Production,1216,Artichokes,2008,2008,tonnes,50889,A,Official figure
QCL,Crops and livestock products,250,France,5510,Production,1216,Artichokes,2009,2009,tonnes,51342,A,Official figure
QCL,Crops and livestock products,250,France,5510,Production,1216,Artichokes,2010,2010,tonnes,48009,A,Official figure
QCL,Crops and livestock products,250,France,5510,Production,1216,Artichokes,2011,2011,tonnes,50589,A,Official figure
QCL,Crops and livestock products,250,France,5510,Production,1216,Artichokes,2012,2012,tonnes,41504,A,Official figure
QCL,Crops and livestock products,250,France,5510,Production,1216,Artichokes,2013,2013,tonnes,36413,A,Official figure
QCL,Crops and livestock products,250,France,5510,Production,1216,Artichokes,2014,2014,tonnes,38354,A,Official figure
QCL,Crops and livestock products,250,France,5510,Production,1216,Artichokes,2015,2015,tonnes,43992,A,Official figure
QCL,Crops and livestock products,250,France,5510,Production,1216,Artichokes,2016,2016,tonnes,38760,A,Official figure
QCL,Crops and livestock products,250,France,5510,Production,1216,Artichokes,2017,2017,tonnes,47249,A,Official figure
QCL,Crops and livestock products,250,France,5510,Production,1216,Artichokes,2018,2018,tonnes,47190,A,Official figure
QCL,Crops and livestock products,250,France,5510,Production,1216,Artichokes,2019,2019,tonnes,38030,A,Official figure
QCL,Crops and livestock products,250,France,5510,Production,1216,Artichokes,2020,2020,tonnes,26180,A,Official figure
